,customer_id,member_id,full_name,gender,date_of_birth,address,city,country,phone_number,email,occupation,education,marital_status,membership_level,join_date,expiry_date,membership_status,customer_points,total_redeemed_points,discount_rate,referral_code,age,membership_lifespan,num_day_since_last_active,num_active_last_7d,num_active_last_14d,num_active_last_30d,signup_in_latenight,most_active_hour,num_apply_lending,total_amount_spent,total_amount_spent_last_30d,total_amount_spent_last_60d,total_amount_spent_last_90d,total_amount_spent_last_180d,total_amount_spent_last_365d,total_tax_amount_spent,total_fee_amount_spent,num_completed_txn,num_canceled_txn,num_reject_txn,pct_reject2total_txn,top_rejected_reason,num_refunded_txn,top_refunded_reason,top_payment_method,top_payment_channel,is_ordering_shipping_address_same,prob_abuse_promotion,num_used_promotion,prob_abnormal_activity,num_select_promotion,num_interest_products,income_spending_ratio,income_stability,total_tax_amount,income_source,annually_income_segment,top_property_type,in_debt,monthly_bill_amount,total_annual_bill_amount
0,11251,11251,Lại Nhật Đ*c,Nam,2007-05-31,"187/49/169v, Phố Trịnh Đình C, Phường Bình Trưng Tây, Thanh Xuân, Phú Thọ, Việt Nam",Phú Thọ,Việt Nam,548-219-4126,james14@example.com,Kiến trúc sư,Sinh viên,Độc thân,VIP,2017-08-15,,Active,566,137,0.05,TR691,15,621,297,263,37,958,True,0,12,6815381000,103832000,165221000,128148000,953676000,430405000,70065200,3874200,289,53,15,0.1271802890114917,Vấn đề khác,12,Sản phẩm nhận không đủ số lượng,Thanh toán qua cổng thanh toán trực tuyến,"(['Cổng thanh toán của bên thứ ba'], [0])",False,0.3420060680021587,83,0.88,931,0,0.8464337091053409,Rất ổn định,6611000,Làm thuê,Từ 300 triệu tới 1 tỷ,Nhà ở chính,Có,19000000,48516000
1,10248,10248,Hứa Vũ T***h,Nữ,1983-02-15,"1372/16/101/60F, Phố Nguyễn Thị B, Phường Bình Khánh, Bắc Từ Liêm, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,893-807-8085,catherine06@example.net,Kỹ sư,Đi làm,Độc thân,Loyalty,2019-03-23,,Active,145,96,0.03,IO206,39,211,56,185,471,445,False,8,2,6618995000,696919000,326228000,254476000,987544000,122618000,63436300,670230,271,61,44,0.9289025552762604,Khách hàng không hài lòng với trải nghiệm mua hàng,10,Vấn đề khác,Thẻ tín dụng,"(['Cổng thanh toán của bên thứ ba'], [0])",True,0.303703644353075,32,0.37,581,38,0.7056761675543618,Rất ổn định,668000,Cho thuê,Trên 3 tỷ,Đất đai,Có,44600000,447192000
2,667,667,Lỗ Nguyệt P****g,Nam,2009-01-30,"1217/91, Hai Triều, Phường An Cư, Hoàng Mai, Hà Nội, Việt Nam",Hà Nội,Việt Nam,350.493.6044x33865,parksjessica@example.org,Bác sĩ,Đại học,Độc thân,Loyalty,2018-12-16,2020-03-23,Expired,166,50,0.04,HA253,13,404,189,165,287,81,False,15,13,8999388000,270997000,485352000,231357000,192878000,727458000,59823400,8044180,97,37,59,0.8902629934311622,Sản phẩm không như hình ảnh minh họa,7,Vấn đề khác,Chuyển khoản ngân hàng,"(['Cổng thanh toán của bên thứ ba'], [0])",True,0.5702476824473935,58,0.41,299,17,0.039199515130041,Ổn định,6271000,Đầu tư,Dưới 300 triệu,Căn hộ/Chung cư,Không,14600000,443388000
3,4141,4141,La Thùy N**c,Nam,2000-01-11,"2417/59/71/192z, Trần Quang Khải, Phường Thủ Thiêm, Ba Vì, Đà Nẵng, Việt Nam",Đà Nẵng,Việt Nam,787.386.8877,welchdeborah@example.net,Kỹ sư,Đại học,Độc thân,VIP,2022-11-16,,Active,501,385,0.1,LB141,22,750,113,291,502,657,False,18,18,4754972000,66600000,664012000,661254000,207036000,455325000,59959000,713300,249,64,12,0.3108163424411527,Khách hàng không hài lòng với trải nghiệm mua hàng,8,Sản phẩm đã hết hạn sử dụng,Thanh toán qua cổng thanh toán trực tuyến,"(['Cổng thanh toán của bên thứ ba'], [0])",False,0.2340669868775413,45,0.27,278,41,0.5374903661374074,Rất ổn định,3222000,Kinh doanh truyền thống,Từ 300 triệu tới 1 tỷ,Đất đai,Có,21500000,210312000
4,45850,45850,Sử Nhân H**g,Nam,2005-11-27,"63/57/46/6, Lê Thị Hồng Gấm, Phường 3, Thanh Oai, Kiên Giang, Việt Nam",Kiên Giang,Việt Nam,001-874-490-1712,davismichael@example.net,Ca sĩ,Trung học phổ thông,Độc thân,VIP,2021-09-19,,Active,594,365,0.1,TB305,17,421,59,124,408,868,False,11,11,3255554000,331622000,886299000,913113000,683862000,732632000,54750200,7862740,64,74,1,0.3469476835147702,Vấn đề khác,9,Sản phẩm đã hết hạn sử dụng,Thẻ tín dụng,"(['Cửa hàng trực tiếp'], [0])",True,0.6720622326304914,31,0.58,797,15,0.7516496037163768,Rất ổn định,3406000,Đầu tư,Trên 3 tỷ,Căn hộ/Chung cư,Có,26700000,353676000
5,43445,43445,Ngọc Quang N****t,Nam,1990-12-30,"1082/35/180/126/154, Võ Văn Tần, Phường 3, Quận Tân Bình, Hà Nội, Việt Nam",Hà Nội,Việt Nam,230-815-4582,delgadocourtney@example.net,Kỹ sư hạ tầng mạng,Đại học,Độc thân,Loyalty,2022-04-20,,Active,269,223,0.05,UU738,32,63,347,90,218,33,False,13,19,6631848000,900959000,515957000,23030000,531400000,892724000,58294300,4231330,205,55,45,0.497561197839255,Sản phẩm không như hình ảnh minh họa,7,Sản phẩm gửi sai,Thanh toán bằng QR Code,"(['Ứng dụng điện thoại di động'], [0])",True,0.2516196231298127,16,0.77,224,48,0.0297963024565236,Rất ổn định,3156000,Kinh doanh online,Trên 3 tỷ,Bất động sản thương mại,Không,48700000,389688000
6,60814,60814,Nguyễn Vân L**h,Nam,1990-11-19,"1527/75/115/113/284, Đường Hùng Vương, Phường Bình Trưng Đông, Quận Tân Bình, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,001-708-230-1211,zamorastephen@example.org,Kỹ sư,Đại học,Độc thân,VIP,2018-01-22,,Active,590,323,0.07,MT968,32,485,94,275,118,403,True,10,10,3291540000,181257000,952351000,76899000,821710000,759201000,96233100,9771300,208,72,33,0.6307591690739359,Sản phẩm giao muộn so với hẹn giao,13,Sản phẩm nhận không đủ số lượng,Tiền mặt khi nhận hàng (COD),"(['Cổng thanh toán của bên thứ ba'], [0])",False,0.6070397120317486,28,0.02,59,41,0.475551443298761,Ổn định,5335000,Đầu tư,Trên 3 tỷ,Đất đai,Có,7600000,288768000
7,44036,44036,Võ Thảo Đ**h,Nữ,2010-06-26,"1530/10/38/271S, Trường Sa, Phường 7, Sóc Sơn, Bình Dương, Việt Nam",Bình Dương,Việt Nam,706.295.4909,thomasshawn@example.net,Đầu bếp,Đi làm,Độc thân,VIP,2014-01-15,,Active,674,34,0.07,HQ250,12,880,118,126,339,574,False,21,19,6873436000,361001000,5472000,430497000,533028000,196553000,74876900,9091830,152,84,9,0.5694012252098829,Dịch vụ không chuyên nghiệp,15,"Khách hàng đổi ý, không muốn mua nữa",Thanh toán bằng QR Code,"(['Giao diện thanh toán trực tuyến trên website'], [0])",False,0.0092341801740597,83,0.65,577,38,0.6034183719824736,Rất ổn định,5254000,Đầu tư,Trên 3 tỷ,Căn hộ/Chung cư,Có,7100000,312804000
8,46813,46813,Thái Tuấn T**o,Nữ,1999-09-14,"2437/39/57/290/134, Nguyễn Huệ, Phường 4, Quận Gò Vấp, Hà Nội, Việt Nam",Hà Nội,Việt Nam,907-784-2126,amendez@example.net,Bác sĩ,Đi làm,Độc thân,VIP,2018-08-23,,Active,678,416,0.1,SF227,23,428,248,27,84,454,False,15,1,1871480000,682366000,11830000,720047000,290914000,459629000,32908400,3683070,45,53,1,0.9411558585096648,Sản phẩm không đáp ứng yêu cầu của khách hàng,15,Sản phẩm gửi sai,Thẻ tín dụng,"(['Ứng dụng điện thoại di động'], [0])",True,0.7536205690476423,69,0.13,886,15,0.7087523634647603,Rất ổn định,8828000,Đầu tư,Trên 3 tỷ,Nhà ở chính,Có,10700000,179916000
9,50390,50390,Đoàn Hòa K***h,Nữ,1987-03-30,"20/230, Lý Văn Phức, Phường Thảo Điền, Ba Đình, Kiên Giang, Việt Nam",Kiên Giang,Việt Nam,001-923-774-1210x89667,cynthiawade@example.org,Nhân viên,Đại học,Có 2 bé,VIP,2017-12-24,,Active,890,150,0.1,UD469,35,422,197,56,262,280,False,14,10,1773324000,863892000,29900000,35728000,762025000,278000000,82518800,6939170,180,47,2,0.5535940560753572,Sản phẩm không như hình ảnh minh họa,12,Sản phẩm không đúng mô tả,Thẻ tín dụng,"(['Ứng dụng điện thoại di động'], [0])",True,0.9804826717021278,23,0.89,934,34,0.1851000349440957,Rất ổn định,1396000,Đầu tư,Trên 3 tỷ,Bất động sản thương mại,Có,32700000,574848000
